Product_Name,Brand,Category,Status,Price_RM,Rating,Comment,Comment_num
Beats Solo3 Wireless On-Ear Headphones The Beats Decade Collection - Defiant Black-Red BTS-MRQC2PA/A,Beats,Audio,AVAILABLE,1179.0,0.0,-,0
Samsung 65 Inch Q95T QLED 4K Smart TV (2020) SAM-QA65Q95TA,Samsung,TV,AVAILABLE,11888.0,0.0,-,0
LG NANO79 55 Inch 4K NanoCell TV with AI ThinQ® (2020) 55NANO79TND,LG,TV,OUT OF STOCK,3888.0,0.0,-,0
LG 65 inch UHD 70 Series 4K HDR Smart LED TV 65UN7000,LG,TV,AVAILABLE,3499.0,0.0,-,0
Panasonic SC-HTB250 Compact Sound Bar,Panasonic,Audio,OUT OF STOCK,939.0,0.0,-,0
Sony In-Ear Headphones (Black) - SNY-MDREX155/BQE,Sony,Audio,OUT OF STOCK,67.0,0.0,-,0
HUAWEI FreeLace Amber Sunrise,HUAWEI,Audio,AVAILABLE,369.0,0.0,-,0
Panasonic 75 Inch HX600 4K UHD Android TV TH-75HX600K,Panasonic,TV,AVAILABLE,6999.0,0.0,-,0
Panasonic Street Wireless Headphone 2019 RP-HF410B (Blue),Panasonic,Audio,AVAILABLE,499.0,0.0,-,0
Sony In-Ear Headphones (Pink) SNY-MDREX155/PQE,Sony,Audio,OUT OF STOCK,67.0,0.0,-,0
Sharp 70-inch Ultra HD 4K Smart LED TV 4TC70AH1X,Sharp,TV,AVAILABLE,4199.0,0.0,-,0
Cento Bracket Wall Mount - Fixed BRK-LCD7090,Cento,Accessories,AVAILABLE,282.0,0.0,-,0
Sony 55 Inch X75H 4K Ultra HD HDR Smart TV SNY-KD55X7500H,Sony,TV,AVAILABLE,2588.0,5.0,"['Good service #grandsenhengtemerloh#31Anniversary,#SenhengKOC', 'Good service , price comfort, staff service good.#senhengkoc#31stanniversary#grandsenhengtamanmutiara#31Anniversary,#SenhengKOC', 'i love sen heng tun aminah #senhengkoc#31staniversary#voucersyok#31Anniversary,#SenhengKOC', 'free extra one year warranty from them... i have a voucher christmas and chinese new year voucher too...#grandsenhengmetrocitymatang#senhengKOC#31anniversarysenheng#31Anniversary,#SenhengKOC', 'Because can get extra waranty for the tv...thank you senheng silibin ipoh...for the good service...#senhengKOC#Moments2celebrate#31Anniversary#SenhengSilibinIpoh#31Anniversary,#SenhengKOC']",5
Panasonic Street Wireless Headphone 2019 RP-HF410B (White),Panasonic,Audio,AVAILABLE,499.0,0.0,-,0
